CUR_NME,SITE_TYPE,GIS_AREA,DISTRICT
Klipfontein Private Nature Reserve,Nature Reserve,1079,Overberg
Kleyn Kloof Private Nature Reserve,Nature Reserve,27,Overberg
Kleinrivier Private Nature Reserve,Nature Reserve,671,Overberg
Kleinberg Private Nature Reserve,Nature Reserve,1560,Central Karoo
Kleinbaai Private Nature Reserve,Nature Reserve,78,Garden Route
Klein Houwhoek Private Nature Reserve,Nature Reserve,1155,Overberg
Klein Ezeljagt Private Nature Reserve,Nature Reserve,149,Overberg
Klein Cederberg Private Nature Reserve,Nature Reserve,990,Cape Winelands
Kiaruna Private Nature Reserve,Nature Reserve,67,Garden Route
Kapklip Private Nature Reserve,Nature Reserve,1370,Cape Winelands
Kanon Private Nature Reserve,Nature Reserve,124,Garden Route
Kannaland Private Nature Reserve,Nature Reserve,718,Overberg
Kalk Gat Private Nature Reserve,Nature Reserve,6141,West Coast
Kaaimans River Gorge Private Nature Reserve,Nature Reserve,13,Garden Route
Joostenberg Private Nature Reserve,Nature Reserve,59,Cape Winelands
Jongensgat Private Nature Reserve,Nature Reserve,145,Garden Route
Jan Malherbe Private Nature Reserve,Nature Reserve,245,Overberg
Jakkalsfontein Private Nature Reserve,Nature Reserve,1783,West Coast
Inverdoorn Private Nature Reserve,Nature Reserve,8994,Cape Winelands
Hopefield Private Nature Reserve,Nature Reserve,1706,West Coast
Honeybird Valley Private Reserve,Nature Reserve,510,Overberg
Hog Hollow Private Nature Reserve,Nature Reserve,12,Garden Route
Hoek van de Berg Private Nature Reserve,Nature Reserve,463,Overberg
Heuningnes River Private Nature Reserve,Nature Reserve,293,Overberg
Hessequa Hills Private Nature Reserve,Nature Reserve,112,Garden Route
Welbedacht Nature Reserve,Nature Reserve,154,Cape Winelands
Bakkrans Nature Reserve,Nature Reserve,2288,West Coast
Skimmelberg Nature Reserve,Nature Reserve,1353,West Coast
Wolwekop Nature Reserve,Nature Reserve,3034,Garden Route
Towerland Wilderness Nature Reserve,Nature Reserve,482,Garden Route
Grootwinterhoek Protected Environment,Protected Environment,4351,Cape Winelands
Wagenboom Nature Reserve,Nature Reserve,6467,Cape Winelands
Aan de Klipheuvel Nature Reserve,Nature Reserve,1413,West Coast
Bontebok Ridge Nature Reserve,Nature Reserve,556,Cape Winelands
De Rust Nature Reserve,Nature Reserve,1713,Overberg
Dwarsrivier Nature Reserve,Nature Reserve,5808,West Coast
Heidehof Nature Reserve,Nature Reserve,198,Overberg
Hooggelegen Nature Reserve,Nature Reserve,825,West Coast
Kruis Nature Reserve,Nature Reserve,323,West Coast
Mooiberg Nature Reserve,Nature Reserve,3186,West Coast
Rhenosterkop Nature Reserve,Nature Reserve,239,Cape Winelands
Simson-Simons Nature Reserve,Nature Reserve,316,West Coast
Taaiboschkraal Nature Reserve,Nature Reserve,4625,West Coast
Tweekuilen Nature Reserve,Nature Reserve,1335,West Coast
